Nom modifié;Nom original
Qui est Ötzi la momie des glaces;Qui est Ötzi la momie des glaces ?
Laskarina Bouboulina héroïne de la résistance grecque;Laskarina Bouboulina : héroïne de la résistance grecque
Lincroyable tour du monde de Nellie Bly;L'incroyable tour du monde de Nellie Bly
LErebus et le Terror deux navires disparus dans les glaces de lArctique;L’Erebus et le Terror, deux navires disparus dans les glaces de l’Arctique
La puissante fée Morgane demisoeur du valeureux roi Arthur;La puissante fée Morgane, demi-soeur du valeureux roi Arthur
Les Odyssées au cœur de la Seconde Guerre mondiale  Lorsque la Résistance réussit le casse du siècle;Les Odyssées au cœur de la Seconde Guerre mondiale : Lorsque la Résistance réussit le casse du siècle
Nancy Wake une résistante au service de la France  Épisode 1;Nancy Wake, une résistante au service de la France - Épisode 1
Nancy Wake une résistante au service de la France  Épisode 2;Nancy Wake, une résistante au service de la France - Épisode 2
Molière  naissance dun acteur Ep1;Molière : naissance d'un acteur (Ep.1)
Molière  le plus fabuleux des auteurs  Ep2;Molière : le plus fabuleux des auteurs ! (Ep.2)
Lady Stanhope une grande aventurière dans le désert du Liban;Lady Stanhope, une grande aventurière dans le désert du Liban
Lhistoire des ÉtatsUnis pour les kids  Sitting Bull  le dernier indien libre des plaines;L'histoire des États-Unis pour les kids : Sitting Bull : le dernier indien libre des plaines
Spartacus  lesclave qui fit trembler Rome;Spartacus : l’esclave qui fit trembler Rome
Enquête sur les traces de Lucie le fantôme du château de Veauce;Enquête sur les traces de Lucie, le fantôme du château de Veauce
Maurice et Katia Krafft  La passion des volcans épisode 1;Maurice et Katia Krafft : La passion des volcans, épisode 1
Maurice et Katia Krafft  La passion des volcans épisode  2;Maurice et Katia Krafft : La passion des volcans, épisode  2
Les folles aventures de Robinson Crusoé  Épisode 1;Les folles aventures de Robinson Crusoé - Épisode 1
Robinson Crusoé seul au monde sur son île  Épisode 2;Robinson Crusoé seul au monde sur son île - Épisode 2
Robinson Crusoé fait une drôle de rencontre  Épisode 3;Robinson Crusoé fait une drôle de rencontre - Épisode 3
Nelson Mandela une vie dinjustices  Épisode 1;Nelson Mandela, une vie d'injustices - Épisode 1
Nelson Mandela le combat contre lApartheid  Épisode 2;Nelson Mandela, le combat contre l'Apartheid - Épisode 2
La découverte de la grotte de Lascaux;La découverte de la grotte de Lascaux
Lhistoire des ÉtatsUnis pour les kids  Calamity Jane une histoire daventures dans les grands espaces du Far West;L'histoire des États-Unis pour les kids : Calamity Jane, une histoire d’aventures dans les grands espaces du Far West
Toutânkhamon ou la découverte dun tombeau royal;Toutânkhamon, ou la découverte d’un tombeau royal
Lhistoire des ÉtatsUnis pour les kids  Apollo 13  la mission catastrophe;L'histoire des États-Unis pour les kids : Apollo 13 : la mission catastrophe
Pauline Léon une femme au cœur de la Révolution française;Pauline Léon, une femme au cœur de la Révolution française.
Lhistoire des ÉtatsUnis pour les kids  Mission Apollo 11  lhistoire du premier homme à avoir marché sur la Lune;L'histoire des États-Unis pour les kids : Mission Apollo 11 : l’histoire du premier homme à avoir marché sur la Lune
La mystérieuse affaire Roswell;La mystérieuse affaire Roswell
La découverte de lépave du Titanic;La découverte de l'épave du Titanic
Le grand voyage de Christophe Colomb  1492 la découverte de lAmérique 2e épisode;Le grand voyage de Christophe Colomb : 1492, la découverte de l’Amérique (2e épisode)
Lhistoire du monstre du Loch Ness;L’histoire du monstre du Loch Ness
Le grand voyage de Christophe Colomb  1492 la découverte de lAmérique 1er épisode;Le grand voyage de Christophe Colomb : 1492, la découverte de l’Amérique (1er épisode)
La folle énigme de lhomme au masque de fer;La folle énigme de l'homme au masque de fer
Lincroyable destin dAliénor dAquitaine;L’incroyable destin d’Aliénor d’Aquitaine
Lhistoire des ÉtatsUnis pour les kids  Martin Luther King le combat dun homme pour son rêve;L'histoire des États-Unis pour les kids : Martin Luther King, le combat d’un homme pour son rêve
Lexplorateur Marco Polo et les merveilles du monde;L’explorateur Marco Polo et les merveilles du monde
