Coline la chaussette orpheline;Coline la chaussette orpheline
Rainette la grenouille qui détestait se laver les cheveux;Rainette, la grenouille qui détestait se laver les cheveux
La vie secrète de Doudou Lapin;La vie secrète de Doudou Lapin
Les métamorphoses dAdèle;Les métamorphoses d'Adèle
Madeleine et les mots qui fâchent;Madeleine et les mots qui fâchent
Les baisers envoyés;Les baisers envoyés
Zouzou et les nuggets magiques;Zouzou et les nuggets magiques
Lhistoire des Mims Petro et Jean Pims;L'histoire des Mims Petro et Jean Pims
Messidor et les bananes de compagnie;Messidor et les bananes de compagnie
Fabien et la housse de couette;Fabien et la housse de couette
La fourmi et le croquemonsieur;La fourmi et le croque-monsieur
Le dernier poisson;Le dernier poisson
Cueillette et le prince de feu;Cueillette et le prince de feu
Victoria la femme qui naimait pas les enfants;Victoria, la femme qui n'aimait pas les enfants
Le procès de Chatoune;Le procès de Chatoune
