Nom modifié;Nom original
Les Odyssées dAlexandre Dumas 1 sur 4  DArtagnan rencontre les Trois Mousquetaires;Épisode 1 : D'Artagnan rencontre les Trois Mousquetaires
Les Odyssées dAlexandre Dumas 2 sur 4  Les Trois Mousquetaires et lhomme au masque de fer;Épisode 2 : Les Trois Mousquetaires et l'homme au masque de fer
Les Odyssées dAlexandre Dumas 3 sur 4  Le Comte de MonteCristo;Épisode 3 : Le Comte de Monte-Cristo
Les Odyssées dAlexandre Dumas 4 sur 4  Le Chevalier de MaisonRouge au secours de MarieAntoinette;Épisode 4 : Le Chevalier de Maison-Rouge au secours de Marie-Antoinette
